order_id,product_weight_g
2448,948.0
2301,1626.0
675,806.0
4579,574.0
4904,1063.0
5616,408.0
3051,1396.0
2766,254.0
5231,247.0
5779,2573.0
1910,2217.0
5853,1552.0
4659,1007.0
266,663.0
514,817.0
4290,1343.0
628,840.0
3724,2521.0
988,588.0
3392,1149.0
3673,2199.0
1074,585.0
3405,1590.0
4651,2425.0
3581,1095.0
5475,573.0
4394,3120.0
2308,290.0
1471,971.0
5191,358.0
878,663.0
960,1876.0
4105,685.0
1584,375.0
297,724.0
1537,1001.0
1978,2268.0
2147,6011.0
3150,1234.0
3848,1357.0
1887,284.0
4310,2632.0
1617,374.0
3799,1446.0
597,2871.0
1558,169.0
5873,885.0
3633,996.0
862,1360.0
2646,479.0
188,1067.0
1185,774.0
5682,743.0
2707,699.0
4465,431.0
110,2982.0
5005,1825.0
1764,1272.0
685,823.0
4927,1739.0
1119,2320.0
3779,1060.0
4310,1913.0
1105,1767.0
1479,2761.0
3082,3088.0
2669,3490.0
5534,954.0
1697,673.0
3006,712.0
1559,1426.0
2960,394.0
3701,372.0
3456,429.0
3062,912.0
4966,1033.0
4431,1238.0
4459,85.0
757,379.0
3515,396.0
387,687.0
3184,1670.0
2030,1375.0
275,728.0
448,1775.0
5281,476.0
4730,2142.0
5653,1210.0
1906,2049.0
3122,151.0
96,483.0
3926,820.0
463,1230.0
3016,261.0
2056,1633.0
2704,1206.0
3421,1404.0
4358,717.0
613,156.0
392,369.0
4481,1050.0
3895,433.0
1068,931.0
3985,964.0
4616,968.0
4468,1331.0
1761,2527.0
4232,1305.0
60,983.0
4196,1064.0
1528,912.0
538,2168.0
4032,560.0
3088,665.0
3048,944.0
2208,1421.0
5813,1778.0
2481,1038.0
4435,2020.0
4704,1188.0
5137,950.0
208,2505.0
1826,496.0
1189,1681.0
5971,2848.0
3289,794.0
4508,1364.0
5276,2565.0
2134,3169.0
3672,2410.0
1338,730.0
4737,1427.0
5978,94.0
5469,69.0
4241,3447.0
1208,842.0
3563,4017.0
1441,1362.0
1962,2846.0
1804,672.0
2136,3635.0
4139,1849.0
481,695.0
4044,1063.0
1650,2083.0
3646,643.0
5279,1097.0
3714,659.0
591,1587.0
1165,297.0
5609,488.0
2490,2186.0
3523,1006.0
374,557.0
2339,748.0
5340,3252.0
3544,388.0
203,1263.0
3725,884.0
975,5231.0
5280,423.0
4279,1480.0
3410,908.0
5868,1692.0
3392,524.0
403,2800.0
219,399.0
5648,3840.0
3451,1828.0
5820,339.0
3613,447.0
5225,653.0
1528,993.0
4769,370.0
1541,596.0
4529,103.0
1025,899.0
617,3202.0
2921,2204.0
1839,4669.0
4040,3769.0
4833,685.0
2564,3009.0
1067,1470.0
1243,1567.0
1222,628.0
5084,2453.0
2735,1458.0
3953,168.0
1007,425.0
1614,2544.0
4090,839.0
5248,764.0
5352,325.0
5418,1162.0
2186,2241.0
3992,3212.0
947,1820.0
3532,442.0
5906,289.0
1109,561.0
3870,1096.0
5933,2134.0
5853,2064.0
4072,4886.0
5766,357.0
326,443.0
1265,858.0
4136,839.0
4347,1391.0
2945,1556.0
2971,854.0
3789,255.0
5852,833.0
3484,182.0
536,541.0
4196,257.0
3857,617.0
5618,1435.0
2269,1577.0
1613,1038.0
1033,3794.0
2539,1396.0
1943,496.0
1738,849.0
3775,1927.0
3446,742.0
1537,443.0
615,1203.0
2365,419.0
3513,456.0
1542,937.0
1507,815.0
298,1506.0
5833,4091.0
5163,881.0
3071,2481.0
4575,219.0
4981,2541.0
1345,652.0
1153,442.0
618,114.0
1432,1848.0
1533,284.0
3898,3043.0
819,747.0
3474,1137.0
3552,2401.0
5562,474.0
683,880.0
604,1402.0
4258,1166.0
4846,951.0
2044,246.0
5163,2601.0
1684,1653.0
2203,1204.0
1275,1159.0
3429,1401.0
748,2716.0
998,904.0
932,880.0
5208,994.0
5465,787.0
1542,674.0
4353,131.0
3933,1285.0
4241,2461.0
4018,1355.0
1072,714.0
3181,692.0
1417,690.0
4084,176.0
2247,1473.0
465,1412.0
628,1963.0
3663,870.0
3609,144.0
369,717.0
5280,621.0
4129,732.0
4390,967.0
2092,1385.0
1971,1302.0
4409,145.0
214,2202.0
3706,954.0
3126,409.0
4160,681.0
5450,950.0
3061,310.0
2135,1877.0
866,1797.0
2043,915.0
2504,1927.0
1084,195.0
3414,2030.0
1995,706.0
435,616.0
1328,3024.0
2702,1015.0
3774,3056.0
5086,742.0
3896,1076.0
3602,968.0
2483,1394.0
201,629.0
5744,2115.0
5281,915.0
5201,187.0
1512,1157.0
1680,3922.0
1296,636.0
3202,1098.0
1236,1797.0
2996,1527.0
551,1095.0
427,137.0
771,1255.0
4316,3463.0
4006,855.0
1138,1664.0
5155,919.0
3279,1643.0
3580,212.0
916,672.0
1081,1174.0
4288,320.0
5870,2109.0
923,784.0
618,1605.0
4964,237.0
5130,1120.0
462,589.0
5818,843.0
2208,899.0
5341,1831.0
1165,289.0
2979,73.0
4228,389.0
607,706.0
3473,1597.0
3934,488.0
899,824.0
4384,2046.0
3668,1011.0
752,1986.0
2480,774.0
5984,2131.0
1309,3511.0
2602,2851.0
4731,792.0
